Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
8/19/2022,8/19/2022,8/19/2022,,ACH Deposit,ACH,,,$75.00 ,
8/12/2022,8/12/2022,8/16/2022,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.012477,$169.92 ,($2.12),
8/11/2022,8/11/2022,8/11/2022,AAPL,Cash Div: R/D 2022-08-08 P/D 2022-08-11 - 9.204269 shares at 0.23,CDIV,,,$2.12 ,
8/5/2022,8/5/2022,8/9/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.05312,$282.38 ,($15.00),
8/5/2022,8/5/2022,8/9/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Bulk Equity Order Allocation Execution",Buy,0.078996,$379.77 ,($30.00),
8/5/2022,8/5/2022,8/9/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Bulk Equity Order Allocation Execution",Buy,0.120745,$248.46 ,($30.00),
8/5/2022,8/5/2022,8/5/2022,,ACH Deposit,ACH,,,$75.00 ,
7/22/2022,7/22/2022,7/26/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Bulk Equity Order Allocation Execution",Buy,0.082866,$362.03 ,($30.00),
7/22/2022,7/22/2022,7/26/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Bulk Equity Order Allocation Execution",Buy,0.129138,$232.31 ,($30.00),
7/22/2022,7/22/2022,7/26/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.057839,$259.34 ,($15.00),
7/22/2022,7/22/2022,7/22/2022,,ACH Deposit,ACH,,,$75.00 ,
7/20/2022,7/20/2022,7/22/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363",Buy,0.873658,$360.84 ,($315.25),
7/20/2022,7/20/2022,7/22/2022,VNQ,"Vanguard US REIT fund
CUSIP: 922908553",Sell,2.562698,$93.33 ,$239.18 ,
7/20/2022,7/20/2022,7/22/2022,VNQ,"Vanguard US REIT fund
CUSIP: 922908553",Sell,0.794876,$93.40 ,$74.25 ,
7/8/2022,7/8/2022,7/12/2022,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.162956,$92.05 ,($15.00),
7/8/2022,7/8/2022,7/12/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.056308,$266.39 ,($15.00),
7/8/2022,7/8/2022,7/12/2022,AMZN,"Amazon
CUSIP: 023135106
Bulk Equity Order Allocation Execution",Buy,0.129938,$115.44 ,($15.00),
7/8/2022,7/8/2022,7/12/2022,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.173953,$86.23 ,($15.00),
7/8/2022,7/8/2022,7/8/2022,,ACH Deposit,ACH,,,$15.00 ,
7/8/2022,7/8/2022,7/8/2022,,ACH Deposit,ACH,,,$15.00 ,
7/8/2022,7/8/2022,7/8/2022,,ACH Deposit,ACH,,,$15.00 ,
7/8/2022,7/8/2022,7/8/2022,,ACH Deposit,ACH,,,$15.00 ,
7/7/2022,7/7/2022,7/11/2022,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,1,$388.43 ,($388.43),
7/7/2022,7/7/2022,7/7/2022,,ACH Deposit,ACH,,,$10.00 ,
7/7/2022,7/7/2022,7/7/2022,,ACH Deposit,ACH,,,$380.00 ,
6/30/2022,6/30/2022,7/5/2022,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.018963,$84.90 ,($1.61),
6/29/2022,6/29/2022,6/29/2022,NOBL,Cash Div: R/D 2022-06-23 P/D 2022-06-29 - 4.14732 shares at 0.388262,CDIV,,,$1.61 ,
6/29/2022,6/29/2022,7/1/2022,UNH,"UnitedHealth
CUSIP: 91324P102
Bulk Equity Order Allocation Execution",Buy,0.000609,$509.44 ,($0.31),
6/29/2022,6/29/2022,7/1/2022,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.01981,$91.37 ,($1.81),
6/28/2022,6/28/2022,6/28/2022,UNH,Cash Div: R/D 2022-06-20 P/D 2022-06-28 - 0.18537 shares at 1.65,CDIV,,,$0.31 ,
6/28/2022,6/28/2022,6/28/2022,VNQ,Cash Div: R/D 2022-06-24 P/D 2022-06-28 - 3.174808 shares at 0.5695,CDIV,,,$1.81 ,
6/27/2022,6/27/2022,6/29/2022,RWR,"SPDR Dow Jones REIT ETF
CUSIP: 78464A607
Bulk Equity Order Allocation Execution",Buy,0.00671,$96.87 ,($0.65),
6/24/2022,6/24/2022,6/24/2022,RWR,Cash Div: R/D 2022-06-22 P/D 2022-06-24 - 0.84778 shares at 0.767916,CDIV,,,$0.65 ,
6/10/2022,6/10/2022,6/14/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.012898,$259.72 ,($3.35),
6/9/2022,6/9/2022,6/9/2022,MSFT,Cash Div: R/D 2022-05-19 P/D 2022-06-09 - 5.408614 shares at 0.62,CDIV,,,$3.35 ,
6/6/2022,6/6/2022,6/6/2022,AMZN,"Amazon
CUSIP: 023135106",SPL,2.194,,,
5/13/2022,5/13/2022,5/17/2022,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.014688,$143.66 ,($2.11),
5/12/2022,5/12/2022,5/12/2022,AAPL,Cash Div: R/D 2022-05-09 P/D 2022-05-12 - 9.189581 shares at 0.23,CDIV,,,$2.11 ,
4/14/2022,4/14/2022,4/19/2022,RWR,"SPDR Dow Jones REIT ETF
CUSIP: 78464A607",Buy,0.84778,$117.96 ,($100.00),
4/14/2022,4/14/2022,4/14/2022,,ACH Deposit,ACH,,,$100.00 ,
4/14/2022,4/14/2022,4/14/2022,,ACH Deposit,ACH,,,$100.00 ,
4/14/2022,4/14/2022,4/19/2022,UNH,"UnitedHealth
CUSIP: 91324P102",Buy,0.18537,$539.46 ,($100.00),
4/14/2022,4/14/2022,4/19/2022,AMZN,"Amazon
CUSIP: 023135106",Buy,0.032633,"$3,064.37 ",($100.00),
4/14/2022,4/14/2022,4/14/2022,,ACH Deposit,ACH,,,$100.00 ,
4/6/2022,4/6/2022,4/8/2022,MSFT,"Microsoft
CUSIP: 594918104",Buy,0.330289,$302.76 ,($100.00),
4/6/2022,4/6/2022,4/6/2022,,ACH Deposit,ACH,,,$100.00 ,
3/31/2022,3/31/2022,4/4/2022,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.015235,$95.84 ,($1.46),
3/30/2022,3/30/2022,3/30/2022,NOBL,Cash Div: R/D 2022-03-24 P/D 2022-03-30 - 4.132085 shares at 0.352262,CDIV,,,$1.46 ,
3/29/2022,3/29/2022,3/31/2022,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
Bulk Equity Order Allocation Execution",Buy,0.016794,$108.37 ,($1.82),
3/28/2022,3/28/2022,3/28/2022,VNQ,Cash Div: R/D 2022-03-24 P/D 2022-03-28 - 3.158014 shares at 0.5767,CDIV,,,$1.82 ,
3/11/2022,3/11/2022,3/15/2022,MSFT,"Microsoft
CUSIP: 594918104
Bulk Equity Order Allocation Execution",Buy,0.010886,$288.46 ,($3.14),
3/10/2022,3/10/2022,3/10/2022,MSFT,Cash Div: R/D 2022-02-17 P/D 2022-03-10 - 5.067439 shares at 0.62,CDIV,,,$3.14 ,
